Date,Open,High,Low,Close,Adj Close,Volume
2019-06-12,22.469999,22.469999,22.469999,22.469999,22.469999,0
2019-06-13,22.500000,22.500000,22.500000,22.500000,22.500000,0
2019-06-14,22.469999,22.469999,22.469999,22.469999,22.469999,0
2019-06-17,22.400000,22.400000,22.400000,22.400000,22.400000,0
2019-06-18,22.570000,22.570000,22.570000,22.570000,22.570000,0
2019-06-19,22.580000,22.580000,22.580000,22.580000,22.580000,0
2019-06-20,22.820000,22.820000,22.820000,22.820000,22.820000,0
2019-06-21,22.650000,22.650000,22.650000,22.650000,22.650000,0
2019-06-24,22.549999,22.549999,22.549999,22.549999,22.549999,0
2019-06-25,22.290001,22.290001,22.290001,22.290001,22.290001,0
2019-06-26,22.350000,22.350000,22.350000,22.350000,22.350000,0
2019-06-27,22.500000,22.500000,22.500000,22.500000,22.500000,0
2019-06-28,22.820000,22.820000,22.820000,22.820000,22.820000,0
2019-07-01,23.040001,23.040001,23.040001,23.040001,23.040001,0
2019-07-02,23.110001,23.110001,23.110001,23.110001,23.110001,0
2019-07-03,23.309999,23.309999,23.309999,23.309999,23.309999,0
2019-07-05,23.340000,23.340000,23.340000,23.340000,23.340000,0
2019-07-08,23.219999,23.219999,23.219999,23.219999,23.219999,0
2019-07-09,23.410000,23.410000,23.410000,23.410000,23.410000,0
2019-07-10,23.440001,23.440001,23.440001,23.440001,23.440001,0
2019-07-11,23.600000,23.600000,23.600000,23.600000,23.600000,0
2019-07-12,23.740000,23.740000,23.740000,23.740000,23.740000,0
2019-07-15,23.690001,23.690001,23.690001,23.690001,23.690001,0
2019-07-16,23.549999,23.549999,23.549999,23.549999,23.549999,0
2019-07-17,23.459999,23.459999,23.459999,23.459999,23.459999,0
2019-07-18,23.590000,23.590000,23.590000,23.590000,23.590000,0
2019-07-19,23.410000,23.410000,23.410000,23.410000,23.410000,0
2019-07-22,23.490000,23.490000,23.490000,23.490000,23.490000,0
2019-07-23,23.670000,23.670000,23.670000,23.670000,23.670000,0
2019-07-24,23.840000,23.840000,23.840000,23.840000,23.840000,0
2019-07-25,23.670000,23.670000,23.670000,23.670000,23.670000,0
2019-07-26,23.980000,23.980000,23.980000,23.980000,23.980000,0
2019-07-29,23.840000,23.840000,23.840000,23.840000,23.840000,0
2019-07-30,23.730000,23.730000,23.730000,23.730000,23.730000,0
2019-07-31,23.709999,23.709999,23.709999,23.709999,23.709999,0
2019-08-01,23.459999,23.459999,23.459999,23.459999,23.459999,0
2019-08-02,23.120001,23.120001,23.120001,23.120001,23.120001,0
2019-08-05,22.280001,22.280001,22.280001,22.280001,22.280001,0
2019-08-06,22.620001,22.620001,22.620001,22.620001,22.620001,0
2019-08-07,22.639999,22.639999,22.639999,22.639999,22.639999,0
2019-08-08,22.730000,22.730000,22.730000,22.730000,22.730000,0
2019-08-09,22.629999,22.629999,22.629999,22.629999,22.629999,0
2019-08-12,22.209999,22.209999,22.209999,22.209999,22.209999,0
2019-08-13,22.420000,22.420000,22.420000,22.420000,22.420000,0
2019-08-14,21.750000,21.750000,21.750000,21.750000,21.750000,0
2019-08-15,21.969999,21.969999,21.969999,21.969999,21.969999,0
2019-08-16,22.299999,22.299999,22.299999,22.299999,22.299999,0
2019-08-19,22.490000,22.490000,22.490000,22.490000,22.490000,0
2019-08-20,22.309999,22.309999,22.309999,22.309999,22.309999,0
2019-08-21,22.500000,22.500000,22.500000,22.500000,22.500000,0
2019-08-22,22.520000,22.520000,22.520000,22.520000,22.520000,0
2019-08-23,21.980000,21.980000,21.980000,21.980000,21.980000,0
2019-08-26,22.250000,22.250000,22.250000,22.250000,22.250000,0
2019-08-27,22.160000,22.160000,22.160000,22.160000,22.160000,0
2019-08-28,22.260000,22.260000,22.260000,22.260000,22.260000,0
2019-08-29,22.559999,22.559999,22.559999,22.559999,22.559999,0
2019-08-30,22.570000,22.570000,22.570000,22.570000,22.570000,0
2019-09-03,22.290001,22.290001,22.290001,22.290001,22.290001,0
2019-09-04,22.500000,22.500000,22.500000,22.500000,22.500000,0
2019-09-05,22.930000,22.930000,22.930000,22.930000,22.930000,0
2019-09-06,22.870001,22.870001,22.870001,22.870001,22.870001,0
2019-09-09,22.730000,22.730000,22.730000,22.730000,22.730000,0
2019-09-10,22.400000,22.400000,22.400000,22.400000,22.400000,0
2019-09-11,22.340000,22.340000,22.340000,22.340000,22.340000,0
2019-09-12,22.480000,22.480000,22.480000,22.480000,22.480000,0
2019-09-13,22.490000,22.490000,22.490000,22.490000,22.490000,0
2019-09-16,22.450001,22.450001,22.450001,22.450001,22.450001,0
2019-09-17,22.580000,22.580000,22.580000,22.580000,22.580000,0
2019-09-18,22.559999,22.559999,22.559999,22.559999,22.559999,0
2019-09-19,22.530001,22.530001,22.530001,22.530001,22.530001,0
2019-09-20,22.350000,22.350000,22.350000,22.350000,22.350000,0
2019-09-23,22.400000,22.400000,22.400000,22.400000,22.400000,0
2019-09-24,22.190001,22.190001,22.190001,22.190001,22.190001,0
2019-09-25,22.350000,22.350000,22.350000,22.350000,22.350000,0
2019-09-26,22.400000,22.400000,22.400000,22.400000,22.400000,0
2019-09-27,22.170000,22.170000,22.170000,22.170000,22.170000,0
2019-09-30,22.200001,22.200001,22.200001,22.200001,22.200001,0
2019-10-01,21.990000,21.990000,21.990000,21.990000,21.990000,0
2019-10-02,21.520000,21.520000,21.520000,21.520000,21.520000,0
2019-10-03,21.730000,21.730000,21.730000,21.730000,21.730000,0
2019-10-04,22.100000,22.100000,22.100000,22.100000,22.100000,0
2019-10-07,22.049999,22.049999,22.049999,22.049999,22.049999,0
2019-10-08,21.660000,21.660000,21.660000,21.660000,21.660000,0
2019-10-09,21.930000,21.930000,21.930000,21.930000,21.930000,0
2019-10-10,22.090000,22.090000,22.090000,22.090000,22.090000,0
2019-10-11,22.280001,22.280001,22.280001,22.280001,22.280001,0
2019-10-14,22.309999,22.309999,22.309999,22.309999,22.309999,0
2019-10-15,22.600000,22.600000,22.600000,22.600000,22.600000,0
2019-10-16,22.500000,22.500000,22.500000,22.500000,22.500000,0
2019-10-17,22.520000,22.520000,22.520000,22.520000,22.520000,0
2019-10-18,22.330000,22.330000,22.330000,22.330000,22.330000,0
2019-10-21,22.469999,22.469999,22.469999,22.469999,22.469999,0
2019-10-22,22.120001,22.120001,22.120001,22.120001,22.120001,0
2019-10-23,22.129999,22.129999,22.129999,22.129999,22.129999,0
2019-10-24,22.469999,22.469999,22.469999,22.469999,22.469999,0
2019-10-25,22.590000,22.590000,22.590000,22.590000,22.590000,0
2019-10-28,22.700001,22.700001,22.700001,22.700001,22.700001,0
2019-10-29,22.700001,22.700001,22.700001,22.700001,22.700001,0
2019-10-30,22.780001,22.780001,22.780001,22.780001,22.780001,0
2019-10-31,22.629999,22.629999,22.629999,22.629999,22.629999,0
2019-11-01,22.889999,22.889999,22.889999,22.889999,22.889999,0
2019-11-04,22.840000,22.840000,22.840000,22.840000,22.840000,0
2019-11-05,22.809999,22.809999,22.809999,22.809999,22.809999,0
2019-11-06,22.860001,22.860001,22.860001,22.860001,22.860001,0
2019-11-07,23.160000,23.160000,23.160000,23.160000,23.160000,0
2019-11-08,23.160000,23.160000,23.160000,23.160000,23.160000,0
2019-11-11,23.190001,23.190001,23.190001,23.190001,23.190001,0
2019-11-12,23.180000,23.180000,23.180000,23.180000,23.180000,0
2019-11-13,23.170000,23.170000,23.170000,23.170000,23.170000,0
2019-11-14,23.320000,23.320000,23.320000,23.320000,23.320000,0
2019-11-15,23.459999,23.459999,23.459999,23.459999,23.459999,0
2019-11-18,23.520000,23.520000,23.520000,23.520000,23.520000,0
2019-11-19,23.690001,23.690001,23.690001,23.690001,23.690001,0
2019-11-20,23.620001,23.620001,23.620001,23.620001,23.620001,0
